Chromosome,Start,End,Length (bp),Number of Covered CpGs,Mean Difference in Block (Normal to Cancer),Mean Normal Methylation in Block,Percentage of evidence from Watson Strand (Normal),Percentage of evidence from Watson Strand (Cancer),Direction of Methylation Change,Block Identifier #
chr1,46332,64900,18569,12,-0.063,0.787,0.276,0.387,hypo,Block:1
chr1,127572,139029,11458,3,-0.118,0.767,0.643,0.444,hypo,Block:2
chr1,669225,676188,6964,2,-0.097,0.573,0.5,0.083,hypo,Block:3
chr1,714565,737808,23244,69,-0.074,0.558,0.89,0.897,hypo,Block:4
chr1,805746,839668,33923,238,-0.151,0.644,0.512,0.507,hypo,Block:5
chr1,845935,858941,13007,370,-0.055,0.291,0.524,0.504,hypo,Block:6
chr1,861678,869303,7626,225,-0.069,0.26,0.519,0.496,hypo,Block:7
chr1,913473,919697,6225,271,-0.123,0.642,0.492,0.502,hypo,Block:8
chr1,919947,933306,13360,164,-0.134,0.516,0.533,0.523,hypo,Block:9
chr1,940463,948625,8163,133,-0.053,0.305,0.546,0.505,hypo,Block:10
chr1,957860,967886,10027,201,0.11,0.425,0.528,0.54,hyper,Block:11
chr1,970294,978573,8280,321,0.095,0.688,0.471,0.482,hyper,Block:12
chr1,1002664,1011240,8577,365,-0.051,0.385,0.546,0.499,hypo,Block:13
chr1,1054348,1072326,17979,595,-0.077,0.402,0.481,0.488,hypo,Block:14
chr1,1072879,1085196,12318,335,-0.071,0.566,0.499,0.498,hypo,Block:15
chr1,1093519,1107602,14084,585,-0.082,0.469,0.511,0.521,hypo,Block:16
chr1,1173255,1181725,8471,343,-0.06,0.478,0.534,0.531,hypo,Block:17
chr1,1212932,1223705,10774,300,-0.066,0.572,0.488,0.491,hypo,Block:18
chr1,1267464,1273231,5768,276,-0.047,0.831,0.474,0.54,hypo,Block:19
chr1,1371515,1386075,14561,334,-0.063,0.631,0.508,0.507,hypo,Block:20
chr1,1434891,1444042,9152,66,-0.069,0.551,0.593,0.561,hypo,Block:21
chr1,1469787,1474905,5119,227,0.097,0.736,0.494,0.472,hyper,Block:22
chr1,1475238,1483576,8339,313,0.1,0.726,0.511,0.502,hyper,Block:23
chr1,1510790,1527635,16846,191,-0.075,0.409,0.524,0.498,hypo,Block:24
chr1,1544292,1550192,5901,77,-0.062,0.433,0.48,0.488,hypo,Block:25
chr1,1571768,1582747,10980,19,0.18,0.471,0.47,0.468,hyper,Block:26
chr1,1625589,1631070,5482,36,-0.066,0.879,0.512,0.485,hypo,Block:27
chr1,1763605,1781863,18259,139,0.052,0.762,0.431,0.432,hyper,Block:28
chr1,1809654,1816579,6926,49,0.053,0.589,0.45,0.413,hyper,Block:29
